id_pair,tfidf_simil,genre_simil,age_simil,length_simil,collab_simil
"(1, 47)",0.019317626953125,1.8837890625,2.0,2.0,0.9989995956420898
"(1, 48)",0.01471710205078125,1.8837890625,0.6666666666666667,2.0,1.04998779296875
"(1, 49)",0.007232666015625,1.33203125,1.3333333333333335,2.0,1.11798095703125
"(1, 50)",0.016754150390625,1.73828125,2.0,2.0,1.04998779296875
"(1, 51)",0.01168060302734375,1.673828125,0.6666666666666667,2.0,1.0290069580078125
"(1, 52)",0.01129150390625,1.8837890625,2.0,2.0,1.040008544921875
"(1, 53)",0.0045318603515625,1.646484375,1.3333333333333335,2.0,0.9860000610351562
"(1, 54)",0.01322174072265625,1.6416015625,1.3333333333333335,1.0,1.0279998779296875
"(1, 55)",0.0091400146484375,1.8837890625,2.0,2.0,1.0139999389648438
"(1, 56)",0.01197052001953125,1.8837890625,2.0,2.0,1.12200927734375
"(1, 57)",0.01245880126953125,1.7041015625,2.0,2.0,1.08502197265625
"(1, 58)",0.02032470703125,1.7470703125,0.6666666666666667,2.0,1.042999267578125
"(1, 59)",0.01371002197265625,1.7734375,1.3333333333333335,2.0,1.029998779296875
"(1, 60)",0.013641357421875,1.45703125,2.0,2.0,1.08001708984375
"(1, 61)",0.00904083251953125,1.390625,0.6666666666666667,2.0,1.06201171875
"(1, 62)",0.008544921875,1.8837890625,2.0,2.0,1.14599609375
"(1, 63)",0.011016845703125,1.7529296875,2.0,2.0,1.05499267578125
"(1, 64)",0.011077880859375,1.6806640625,0.0,2.0,1.0260009765625
"(1, 65)",0.00933837890625,0.0,1.3333333333333335,1.0,1.0770263671875
"(1, 66)",0.005191802978515625,1.8837890625,2.0,2.0,0.96600341796875
"(1, 67)",0.0127716064453125,1.576171875,0.6666666666666667,2.0,1.032012939453125
"(1, 68)",0.01336669921875,1.5048828125,2.0,2.0,1.032989501953125
"(1, 69)",0.0141143798828125,1.8837890625,1.3333333333333335,2.0,1.06402587890625
"(1, 70)",0.046356201171875,1.73046875,2.0,2.0,1.024993896484375
"(1, 71)",0.012847900390625,1.6396484375,2.0,2.0,1.1309814453125
"(1, 72)",0.0099029541015625,1.54296875,1.3333333333333335,2.0,1.09698486328125
"(1, 73)",0.008636474609375,1.8837890625,1.3333333333333335,1.0,1.09100341796875
"(1, 74)",0.01540374755859375,1.6806640625,2.0,2.0,1.176025390625
"(1, 75)",0.01141357421875,1.8837890625,0.6666666666666667,2.0,1.07000732421875
"(1, 76)",0.0038890838623046875,1.33203125,1.3333333333333335,2.0,0.977996826171875
